province,city,county,scenic,batch,kw,longitude,latitude,adcode,matched_name,via_fallback
北京市,,东城区,故宫博物院,,北京市故宫博物院,116.410829,39.881913,110101,天坛公园,False
北京市,,东城区,天坛公园,,北京市天坛公园,116.410829,39.881913,110101,天坛公园,False
北京市,,海淀区,颐和园,,北京市颐和园,116.410829,39.881913,110101,天坛公园,False
北京市,,海淀区,圆明园景区,,北京市圆明园景区,116.410829,39.881913,110101,天坛公园,False
北京市,,延庆区,八达岭长城（八达岭-慕田峪长城）,,北京市八达岭长城（八达岭-慕田峪长城）,116.410829,39.881913,110101,天坛公园,False
北京市,,怀柔区,慕田峪长城旅游景区（八达岭-慕田峪长城）,,北京市慕田峪长城旅游景区（八达岭-慕田峪长城）,116.410829,39.881913,110101,天坛公园,False
北京市,,昌平区,明十三陵景区,,北京市明十三陵景区,116.246624,40.276604,110114,昌平苹果主题公园,False
北京市,,西城区,恭王府景区,,北京市恭王府景区,116.410829,39.881913,110101,天坛公园,False
北京市,,朝阳区,奥林匹克公园,,北京市奥林匹克公园,116.275228,39.911837,110108,五棵松奥林匹克文化公园,False
北京市,,通州区,北京（通州）大运河文化旅游景区,,北京市北京（通州）大运河文化旅游景区,116.744693,39.884877,110112,清风廉政文化主题公园,False
天津市,,南开区,天津古文化街旅游区（津门故里）,,天津市天津古文化街旅游区（津门故里）,117.198435,39.131867,120105,海河中心广场公园,False
天津市,,蓟州区,天津盘山风景名胜区,,天津市天津盘山风景名胜区,117.272809,39.143415,120102,桥园公园,False
河北省,秦皇岛市,山海关区,山海关景区,,河北省秦皇岛市山海关景区,119.488542,39.813902,130304,老虎石海上公园,False
河北省,保定市,安新县,安新白洋淀景区,,河北省保定市安新白洋淀景区,115.952869,38.959794,130632,白洋淀旅游湿地公园,False
河北省,保定市,涞水县,野三坡景区,,河北省保定市野三坡景区,115.954309,38.955233,130632,白洋淀长廊,False
河北省,保定市,涞源县,白石山景区,,河北省保定市白石山景区,115.954309,38.955233,130632,白洋淀长廊,False
河北省,保定市,易县,清西陵景区,,河北省保定市清西陵景区,115.954309,38.955233,130632,白洋淀长廊,False
河北省,承德市,双桥区,承德避暑山庄及周围寺庙景区,,河北省承德市承德避暑山庄及周围寺庙景区,118.681745,41.008833,130881,泽州园,False
河北省,承德市,滦平县,金山岭长城景区,,河北省承德市金山岭长城景区,118.681745,41.008833,130881,泽州园,False
河北省,石家庄市,平山县,西柏坡景区,,河北省石家庄市西柏坡景区,113.935699,38.348128,130131,西柏坡国家登山健身步道,False
河北省,唐山市,遵化市,清东陵景区,,河北省唐山市清东陵景区,117.624240,40.188137,130281,万佛园,False
河北省,唐山市,路南区,南湖·开滦旅游景区,,河北省唐山市南湖·开滦旅游景区,118.122844,39.823449,130208,天宫寺塔,False
河北省,邯郸市,涉县,娲皇宫景区,,河北省邯郸市娲皇宫景区,114.590974,36.323391,130423,七子园,False
河北省,邯郸市,永年区,广府古城景区,,河北省邯郸市广府古城景区,114.590974,36.323391,130423,七子园,False
河北省,衡水市,桃城区、冀州区,衡水湖旅游景区,,河北省衡水市衡水湖旅游景区,115.654561,37.653210,131102,衡水湖湿地公园,False
山西省,大同市,云冈区,云冈石窟,,山西省大同市云冈石窟,113.137759,40.102678,140214,晋华宫国家矿山公园,False
山西省,忻州市,五台县,五台山风景名胜区,,山西省忻州市五台山风景名胜区,113.187365,38.697898,140922,傅斯公园,False
山西省,忻州市,代县,雁门关景区,,山西省忻州市雁门关景区,112.878966,39.182243,140923,山西省忻州市代县雁门关景区,False
山西省,晋城市,阳城县,皇城相府生态文化旅游区,,山西省晋城市皇城相府生态文化旅游区,113.173829,35.854232,140524,杨村南湖文化公园,False
山西省,晋中市,介休市,介休绵山景区,,山西省晋中市介休绵山景区,111.894688,37.022801,140781,绵山公园,False
山西省,晋中市,祁县,乔家大院文化园区,,山西省晋中市乔家大院文化园区,112.682658,37.789879,140702,九龙国际文化生态旅游园区,False
山西省,晋中市,平遥县,平遥古城景区,,山西省晋中市平遥古城景区,112.186281,37.196911,140728,迎薰公园,False
山西省,临汾市,洪洞县,洪洞大槐树寻根祭祖园景区,,山西省临汾市洪洞大槐树寻根祭祖园景区,111.486442,36.078696,141002,汾河公园,False
山西省,临汾市,乡宁县,云丘山景区,,山西省临汾市云丘山景区,111.021057,35.753481,141029,山西省临汾市乡宁县云丘山景区,False
山西省,临汾市,吉县,黄河壶口瀑布旅游区,,山西省临汾市黄河壶口瀑布旅游区,111.486442,36.078696,141002,汾河公园,False
山西省,长治市,壶关县,壶关太行山大峡谷八泉峡景区,,山西省长治市壶关太行山大峡谷八泉峡景区,113.562808,35.958201,140427,山西省长治市壶关县太行山大峡谷八泉峡景区,False
山西省,太原市,晋源区,晋祠天龙山景区,,山西省太原市晋祠天龙山景区,112.450794,37.704552,140110,晋祠景区,False
内蒙古自治区,鄂尔多斯市,达拉特旗,响沙湾旅游景区,,内蒙古自治区鄂尔多斯市响沙湾旅游景区,109.962311,40.244202,150621,内蒙古自治区鄂尔多斯市达拉特旗响沙湾旅游景区(公交站),False
内蒙古自治区,鄂尔多斯市,伊金霍洛旗,成吉思汗陵旅游区,,内蒙古自治区鄂尔多斯市成吉思汗陵旅游区,109.806231,39.362636,150627,内蒙古自治区鄂尔多斯市伊金霍洛旗成吉思汗陵旅游区,False
内蒙古自治区,呼伦贝尔市,满洲里市,中俄边境旅游区,,内蒙古自治区呼伦贝尔市中俄边境旅游区,117.357303,49.629728,150781,内蒙古自治区呼伦贝尔市满洲里市满洲里中俄边境旅游区,False
内蒙古自治区,呼伦贝尔市,跨县级行政区,呼伦贝尔大草原·莫尔格勒河景区,,内蒙古自治区呼伦贝尔市呼伦贝尔大草原·莫尔格勒河景区,120.415101,50.360025,150784,额尔古纳国家湿地公园,False
内蒙古自治区,兴安盟,阿尔山市,阿尔山·柴河旅游景区,,内蒙古自治区兴安盟阿尔山·柴河旅游景区,120.288571,46.966747,152202,内蒙古自治区兴安盟阿尔山市柴河,False
内蒙古自治区,赤峰市,克什克腾旗,哈斯哈图石阵旅游区,,内蒙古自治区赤峰市哈斯哈图石阵旅游区,118.905996,42.261696,150404,风清园廉政公园,False
内蒙古自治区,阿拉善盟,额济纳旗,胡杨林旅游区,,内蒙古自治区阿拉善盟胡杨林旅游区,101.019461,41.811344,152923,怪树林,False
内蒙古自治区,呼和浩特市,清水河县,老牛湾黄河大峡谷旅游区,,内蒙古自治区呼和浩特市老牛湾黄河大峡谷旅游区,111.428291,39.688844,150124,老牛湾黄河大峡谷旅游景区,False
辽宁省,沈阳市,浑南区,沈阳市植物园,,辽宁省沈阳市沈阳市植物园,123.640922,41.934964,210112,棋盘山1939CS野战公园,False
辽宁省,大连市,中山区,大连老虎滩海洋公园.老虎滩极地馆,,辽宁省大连市大连老虎滩海洋公园.老虎滩极地馆,121.701905,38.899965,210202,海之韵公园,False
辽宁省,大连市,金州区,金石滩景区,,辽宁省大连市金石滩景区,122.024281,39.084961,210213,金石缘公园,False
辽宁省,本溪市,本溪满族自治县,本溪水洞景区,,辽宁省本溪市本溪水洞景区,124.083800,41.300711,210521,辽宁本溪国家地质公园,False
辽宁省,本溪市,桓仁满族自治县,五女山景区,,辽宁省本溪市五女山景区,125.424178,41.254268,210522,桓龙湖国家湿地公园(不对外开放)(建设中),False
辽宁省,鞍山市,铁东区,千山景区,,辽宁省鞍山市千山景区,122.916289,41.154447,210303,运粮河湿地公园,False
辽宁省,盘锦市,大洼区,红海滩风景廊道景区,,辽宁省盘锦市红海滩风景廊道景区,121.880805,40.918194,211104,月牙湾湿地公园,False
吉林省,长春市,宽城区,伪满皇宫博物院,,吉林省长春市伪满皇宫博物院,125.348182,43.907324,220103,廉政文化公园,False
吉林省,长春市,南关区,净月潭景区,,吉林省长春市净月潭景区,125.306789,43.856452,220104,南湖公园,False
